value,label
0,binary
1,binary
01,binary
10,binary
11,binary
101,binary
110,binary
111,binary
1001,binary
10101,binary
010101,binary
111000,binary
10101101,binary
00001111,binary
10101010,binary
11111111,binary
11010101,binary
10110110,binary
10000001,binary
0101010101,binary
11110000,binary
00110101,binary
10110011,binary
11001100,binary
10111101,binary
00010111,binary
101010101010,binary
111111000000,binary
101001,binary
111011,binary
000000,binary
111111,binary
1010101,binary
10011001,binary
110011001100,binary
1010111100000011,binary
00110011,binary
111010,binary
110110,binary
010010,binary
100000,binary
110,binary
101101,binary
0001,binary
101110,binary
110101,binary
11110001,binary
1010101111,binary
1010101011110000,binary
2,decimal
5,decimal
8,decimal
12,decimal
19,decimal
25,decimal
42,decimal
57,decimal
64,decimal
73,decimal
88,decimal
99,decimal
123,decimal
256,decimal
375,decimal
462,decimal
598,decimal
703,decimal
842,decimal
999,decimal
150,decimal
204,decimal
312,decimal
417,decimal
529,decimal
603,decimal
701,decimal
845,decimal
921,decimal
1000,decimal
1112,decimal
1204,decimal
1313,decimal
1456,decimal
1555,decimal
1678,decimal
1789,decimal
1999,decimal
2103,decimal
2345,decimal
3456,decimal
4567,decimal
5678,decimal
6789,decimal
7890,decimal
8765,decimal
9321,decimal
875,decimal
456,decimal
222,decimal
a,hex
B,hex
c,hex
d,hex
e,hex
F,hex
1A,hex
2b,hex
3F,hex
4c,hex
5e,hex
6D,hex
7a,hex
8B,hex
9c,hex
Aa,hex
Bc,hex
cD,hex
Ef,hex
fa,hex
1F4,hex
2A7,hex
3b9,hex
4d2,hex
5E1,hex
7a3,hex
8C4,hex
9AF,hex
A55,hex
Bee,hex
c0DE,hex
Dad,hex
FaCe,hex
bEeF,hex
Dead,hex
caFe,hex
Ff00,hex
00fF,hex
f00D,hex
A1b2,hex
c3D4,hex
E5f6,hex
9aBc,hex
DEF,hex
abc,hex
Af12,hex
99Ef,hex
FEE1,hex
123Z,noise
10102,noise
GHI,noise
1.5,noise
-1010,noise
0b1010,noise
0xAF,noise
hello,noise
FFG,noise
2,noise
10 10,noise
AAZZ,noise
binary101,noise
$,noise
1001two,noise
XYZ,noise
apple,noise
1010A,noise
5F5FZ,noise
#FF00,noise
1_000,noise
TRUE,noise
FALSE,noise
123-456,noise
10.,noise
.bin,noise
HEX,noise
--10,noise
123abc,noise
1010 ,noise
 space ,noise
!,noise
999999999999999999999,noise
NULL,noise
NaN,noise
0x123,noise
[] ,noise
{10},noise
() ,noise
A G,noise
"1010",noise
1/0,noise
???,noise
101A01,noise
Z10Z,noise
