value,label
<<<<<<< HEAD
0,0
1,0
01,0
10,0
11,0
101,0
110,0
111,0
1001,0
10101,0
010101,0
111000,0
10101101,0
00001111,0
10101010,0
11111111,0
11010101,0
10110110,0
10000001,0
0101010101,0
11110000,0
00110101,0
10110011,0
11001100,0
10111101,0
00010111,0
101010101010,0
111111000000,0
101001,0
111011,0
000000,0
111111,0
1010101,0
10011001,0
110011001100,0
1010111100000011,0
00110011,0
111010,0
110110,0
010010,0
100000,0
110,0
101101,0
0001,0
101110,0
110101,0
11110001,0
1010101111,0
1010101011110000,0
2,1
5,1
8,1
12,1
19,1
25,1
42,1
57,1
64,1
73,1
88,1
99,1
123,1
256,1
375,1
462,1
598,1
703,1
842,1
999,1
150,1
204,1
312,1
417,1
529,1
603,1
701,1
845,1
921,1
1000,1
1112,1
1204,1
1313,1
1456,1
1555,1
1678,1
1789,1
1999,1
2103,1
2345,1
3456,1
4567,1
5678,1
6789,1
7890,1
8765,1
9321,1
875,1
456,1
222,1
a,2
B,2
c,2
d,2
e,2
F,2
1A,2
2b,2
3F,2
4c,2
5e,2
6D,2
7a,2
8B,2
9c,2
Aa,2
Bc,2
cD,2
Ef,2
fa,2
1F4,2
2A7,2
3b9,2
4d2,2
5E1,2
7a3,2
8C4,2
9AF,2
A55,2
Bee,2
c0DE,2
Dad,2
FaCe,2
bEeF,2
Dead,2
caFe,2
Ff00,2
00fF,2
f00D,2
A1b2,2
c3D4,2
E5f6,2
9aBc,2
DEF,2
abc,2
Af12,2
99Ef,2
FEE1,2
123Z,3
10102,3
GHI,3
1.5,3
-1010,3
0b1010,3
0xAF,3
hello,3
FFG,3
10 10,3
AAZZ,3
binary101,3
$,3
1001two,3
XYZ,3
apple,3
1010A,3
5F5FZ,3
#FF00,3
1_000,3
TRUE,3
FALSE,3
123-456,3
10.,3
.bin,3
HEX,3
--10,3
123abc,3
1010 ,3
space ,3
!,3
999999999999999999999,3
,3
,3
0x123,3
[] ,3
{10},3
() ,3
A G,3
1010,3
1/0,3
???,3
101A01,3
Z10Z,3
=======
0,binary
1,binary
01,binary
10,binary
11,binary
101,binary
110,binary
111,binary
1001,binary
10101,binary
010101,binary
111000,binary
10101101,binary
00001111,binary
10101010,binary
11111111,binary
11010101,binary
10110110,binary
10000001,binary
0101010101,binary
11110000,binary
00110101,binary
10110011,binary
11001100,binary
10111101,binary
00010111,binary
101010101010,binary
111111000000,binary
101001,binary
111011,binary
000000,binary
111111,binary
1010101,binary
10011001,binary
110011001100,binary
1010111100000011,binary
00110011,binary
111010,binary
110110,binary
010010,binary
100000,binary
110,binary
101101,binary
0001,binary
101110,binary
110101,binary
11110001,binary
1010101111,binary
1010101011110000,binary
2,decimal
5,decimal
8,decimal
12,decimal
19,decimal
25,decimal
42,decimal
57,decimal
64,decimal
73,decimal
88,decimal
99,decimal
123,decimal
256,decimal
375,decimal
462,decimal
598,decimal
703,decimal
842,decimal
999,decimal
150,decimal
204,decimal
312,decimal
417,decimal
529,decimal
603,decimal
701,decimal
845,decimal
921,decimal
1000,decimal
1112,decimal
1204,decimal
1313,decimal
1456,decimal
1555,decimal
1678,decimal
1789,decimal
1999,decimal
2103,decimal
2345,decimal
3456,decimal
4567,decimal
5678,decimal
6789,decimal
7890,decimal
8765,decimal
9321,decimal
875,decimal
456,decimal
222,decimal
a,hex
B,hex
c,hex
d,hex
e,hex
F,hex
1A,hex
2b,hex
3F,hex
4c,hex
5e,hex
6D,hex
7a,hex
8B,hex
9c,hex
Aa,hex
Bc,hex
cD,hex
Ef,hex
fa,hex
1F4,hex
2A7,hex
3b9,hex
4d2,hex
5E1,hex
7a3,hex
8C4,hex
9AF,hex
A55,hex
Bee,hex
c0DE,hex
Dad,hex
FaCe,hex
bEeF,hex
Dead,hex
caFe,hex
Ff00,hex
00fF,hex
f00D,hex
A1b2,hex
c3D4,hex
E5f6,hex
9aBc,hex
DEF,hex
abc,hex
Af12,hex
99Ef,hex
FEE1,hex
123Z,noise
10102,noise
GHI,noise
1.5,noise
-1010,noise
0b1010,noise
0xAF,noise
hello,noise
FFG,noise
10 10,noise
AAZZ,noise
binary101,noise
$,noise
1001two,noise
XYZ,noise
apple,noise
1010A,noise
5F5FZ,noise
#FF00,noise
1_000,noise
TRUE,noise
FALSE,noise
123-456,noise
10.,noise
.bin,noise
HEX,noise
--10,noise
123abc,noise
1010,noise
space,noise
!,noise
999999999999999999999,noise
NULL,noise
NaN,noise
0x123,noise
[] ,noise
{10},noise
() ,noise
A G,noise
"1010",noise
1/0,noise
???,noise
101A01,noise
Z10Z,noise
>>>>>>> 181c54e24494687ede80c1996b410cf03dae6de1
